popul,año,id_track,artist,song,duration,
65,2015,7aUuoq4oMfLxaLa5GVUDHi,KALEO,Way down We Go,219.56,
65,2015,1yYE8EyuIV0rrvQ1bA2Fyf,Bring Me The Horizon,Happy Song,239.386,
65,2014,2tpfxAXiI52znho4WE3XFA,Tove Lo,Talking Body,238.426,
65,2014,2qJkesdHu9sMMVFgkRkqhQ,Theory of a Deadman,Angel,202.213,
65,2014,0GSU6yLOJqO10ziQuBLWOE,Bakermat,One Day (Vandaag) - Radio Edit,219.333,
65,2013,2YAQa5dl4GWo0GuVliWvdR,Plan B,Candy,207.528,
65,2010,3Q8zopc4ABXhysDb1sgLVW,My Darkest Days,Porn Star Dancing,199.013,
65,2009,2D52zjCyqEIQa221lhw6uk,Thirty Seconds To Mars,This Is War,326.983,
65,2006,1qEHgdFqUxFebMPk8s2HLY,Scissor Sisters,I Don't Feel Like Dancin' - Radio Edit,248.64,
65,2006,0hgLHFyN9u3WqkK2ofpuUX,Lemon Demon,The Ultimate Showdown of Ultimate Destiny,213.087,
65,2005,42GP0xKtkolBnmqQRvSllO,Coheed and Cambria,Welcome Home,374.973,
65,2000,7MiLmLbwNoyf47xQ4TCVYp,The Temptations,Papa Was A Rollin' Stone - Single Version,419.64,
65,1997,7puxIVNdj5nsBJk43zM3bH,George Strait,Carrying Your Love With Me,232.426,
65,1997,3xZMPZQYETEn4hjor3TR1A,Sarah McLachlan,Angel,270.4,
65,1997,2op0kDNARK2VHWHntEeH4g,Tim McGraw,Just To See You Smile,215.173,
65,1997,1ru5R5iSawvuMELqKXxLjS,The Mighty Mighty Bosstones,The Impression That I Get,194.76,
65,1997,0nDjzA4kns1QOWPXuOn6Xw,Tim McGraw,Where The Green Grass Grows,201.6,
65,1996,2TIEeLrOQrGnO2D2OeDDJu,Tracy Lawrence,Time Marches On,185.36,
65,1996,1HL3yEnYq8LEyFQ3QegA5V,Dave Matthews Band,Crash into Me,316.466,
65,1996,0u4htORODiTK9vHVA89MQX,The Cardigans,Lovefool,193.893,
65,1993,0cfqYhY6B8PbGF9vaVNUeG,Cypress Hill,Hits from the Bong,160.866,
65,1991,7lUE02KHkZM44BZgjCaWRO,Diamond Rio,Meet In the Middle,198.333,
65,1991,2ulBBx6YQ3qY3ci34RadtN,Trisha Yearwood,She's In Love With The Boy - Single Version,248.2,
65,1983,7ohR0qPH6f2Vuj2pUNanJG,Marvin Gaye,Got To Give It Up - Pt. 1,255.133,
65,1980,57Y3UccJEJqT8w8RWkUAz0,Diana Ross,Upside Down,244.826,
65,1978,2Xb6wJYGi0QXwURw5WWvI5,Gerry Rafferty,Right Down the Line,267.773,
65,1977,5VJjhHyG8NZ5xdgG6uTb3P,Commodores,Brick House,208.893,
65,1974,0UOxp1BpnD8uPQMKU4wKjz,Eric Clapton,I Shot The Sheriff,263.746,
65,1974,0SjnBEHZVXgCKvOrpvzL2k,Gordon Lightfoot,Sundown,213.4,
65,1972,46MX86XQqYCZRvwPpeq4Gi,Aliotta Haynes Jeremiah,Lake Shore Drive,235.173,
65,1971,3D9iV6cYkYJRAPFO6DRKIE,John Lennon,Jealous Guy - Remastered 2010,257.786,
65,1971,2Bls0igCm79XQQ95IoUbhq,Jean Knight,Mr. Big Stuff,164.56,
65,1970,76TpWFiK5YCgw1hy26DWZp,George Harrison,What Is Life - Remastered 2014,264.413,
65,1968,5AJrhrwz4oSZX2PwwV4qrN,The Zombies,Time of the Season - Mono Version,214.026,
64,2018,2wRkBumdItthjYP9XknImg,Bad Bunny,Está Rico,215.151,
64,2015,2D9BrlpeyjXF0vli2dYQ5V,Breaking Benjamin,Angels Fall,228.866,
64,2014,2eqDUxbd0JPEhNrJdPlHLs,Jennifer Lopez,Adrenalina (feat. Jennifer Lopez & Ricky Martin),235.546,
64,2011,0fxpHpK3aw2nFWII6yveDD,Matt Redman,"10,000 Reasons (Bless The Lord) - Live",342.493,
64,2010,5cwN1htZyoWqZCc33f3RfE,Broken Bells,The High Road,232.2,
64,2001,3SUusuA9jH1v6PVwtYMbdv,The Strokes,Last Nite,193.373,
64,2001,3OOFEF20WqtsUPcRbPY3L7,Cake,Short Skirt / Long Jacket,204.133,
64,2000,21iD8UKoYicaMmVISo6Pi4,Polo Montañez,Un Montón De Estrellas,364.573,
64,1999,1CgbwsrNDlFrRuk2ebQ7zr,ATB,9Pm (Till I Come),193.88,
64,1999,0eKyHwckh9vQb8ncZ2DXCs,Creed,With Arms Wide Open,274.8,
64,1996,1ng36571Iyov4HBxUClySn,Butthole Surfers,Pepper,297.266,
64,1993,29rQJydAlO0uMyWvRIZxQg,Janet Jackson,That's The Way Love Goes,265.106,
